SuperUserName,CustID,"GROUP_CONCAT(CategorySports SEPARATOR ', ')"
AG,42706731,"Normal Member(Non-Sports)"
AG,42707423,"High Risk Punter(Soccer)"
AG,42711579,"Normal Member(Non-Sports)"
AG,42731350,"Normal Member(Non-Sports)"
AG,42746640,NULL
AG,42757873,"High Risk Punter(Non-Sports)"
AG,42760707,VIP(Non-Sports)
AG,42762188,VIP(Non-Sports)
AG,42774857,"High Risk Punter(Non-Sports)"
AG,42778471,"Normal Member(Non-Sports)"
AG,42797439,VIP(Non-Sports)
AG,42814607,"Normal Member(Non-Sports)"
AG,42819950,"Normal Member(Non-Sports)"
AG,42833952,"Normal Member(Soccer)"
AG,42835886,"Normal Member(E-Sports)"
AG,42839623,"Normal Member(Non-Sports)"
AG,42843667,VIP(Non-Sports)
AG,42854750,"Normal Member(Non-Sports)"
AG,42857968,"Normal Member(Non-Sports)"
AG,42868570,"High Risk Punter(Non-Sports)"
AG,42880020,"Normal Member(Non-Sports)"
AG,42884954,VIP(Non-Sports)
AG,42891372,"High Risk Punter(Non-Sports)"
AG,42892028,"Normal Member(Non-Sports)"
AG,42893543,"Normal Member(Non-Sports)"
AG,42897220,"Normal Member(Non-Sports)"
AG,42900239,"Normal Member(Non-Sports)"
AG,42900942,VIP(Non-Sports)
AG,42917464,"Normal Member(Non-Sports)"
AG,42931356,"High Risk Punter(Non-Sports)"
AG,42931423,NULL
AG,42934649,"High Risk Punter(Soccer)"
AG,42936187,NULL
AG,42938089,"Normal Member(Soccer)"
AG,42938139,NULL
AG,42938153,"Normal Member(Non-Sports)"
AG,42938173,NULL
AG,42938184,"Normal Member(Non-Sports)"
AG,42938194,"Normal Member(Non-Sports)"
AG,42956524,"Normal Member(Non-Sports)"
AG,42956574,VIP(Non-Sports)
AG,42956577,"Normal Member(Non-Sports)"
AG,42956584,NULL
AG,42956589,VIP(Non-Sports)
AG,42959325,"Normal Member(Non-Sports)"
AG,42959348,"Normal Member(Non-Sports)"
AG,42962192,"High Risk Punter(Non-Sports)"
AG,42962250,VIP(Non-Sports)
AG,42962257,"High Risk Punter(Non-Sports)"
AG,42962266,"Normal Member(Non-Sports)"
AG,42962275,VIP(Non-Sports)
AG,42976379,"High Risk Punter(Non-Sports)"
AG,42976393,"Normal Member(Non-Sports)"
AG,42976403,VIP(Non-Sports)
AG,42976413,NULL
AG,42976436,"High Risk Punter(Non-Sports)"
AG,42976453,"Normal Member(Non-Sports)"
AG,42976456,VIP(Non-Sports)
AG,42976470,NULL
AG,42982935,"High Risk Punter(Non-Sports)"
AG,43001096,"Normal Member(Non-Sports)"
AG,43001519,"Normal Member(Non-Sports)"
AG,43016157,"Normal Member(Non-Sports)"
AG,43021733,"High Risk Punter(Non-Sports)"
AG,43042328,VIP(Non-Sports)
AG,43042330,"Normal Member(Non-Sports)"
AG,43042333,NULL
AG,43042336,NULL
AG,43042342,VIP(Non-Sports)
AG,43044063,VIP(Non-Sports)
AG,43059436,"Normal Member(Non-Sports)"
AG,43059442,VIP(Non-Sports)
AG,43059451,"Normal Member(Non-Sports)"
AG,43059457,NULL
AG,43059459,NULL
AG,43084490,"Normal Member(Non-Sports)"
AG,43085477,VIP(Non-Sports)
AG,43096330,VIP(Non-Sports)
AG,43103714,"Normal Member(Non-Sports)"
AG,43103721,VIP(Non-Sports)
AG,43103729,"Normal Member(Non-Sports)"
AG,43103739,NULL
AG,43103754,VIP(Non-Sports)
AG,43108624,"Normal Member(Non-Sports)"
AG,43113190,"High Risk Punter(Soccer)"
